character_1,character_2,relationship
ریونیز داماد توس,توس,خویشاوند
ساوه کاموس,کاموس کشانی,خویشاوند
مه بانوان افراسیاب,افراسیاب تورانی,خویشاوند
سرو شاه یمن,فریدون,برخورد
ماه آفرید(ایرج),فریدون,برخورد
اژدها (فریدون),فریدون,برخورد
سهراب,هجیر,برخورد
سهراب,گژدهم,برخورد
حمزه,عباس,برخورد
برمایه (گاو),فریدون,برخورد
برزین دهقان,بهرام گور,برخورد
گرسیوز,سیاوش,برخورد
قیس پسر حارث,خسرو پرویز,برخورد
سروش خجسته,خسرو پرویز,برخورد
اسکندر,کید,برخورد
اسکندر,دارای داراب,برخورد
اسکندر,دلارای دارا,برخورد
اسکندر,فور هندی,برخورد
اسکندر,خضر,برخورد
اسکندر,الیاس,برخورد
اسکندر,گوش بستر,برخورد
بید,رستم,برخورد
بید,کاووس,برخورد
دیو سپید,کاووس,برخورد
کلباد,نستیهن,برخورد
کلباد,پولاد,برخورد
کلباد,کی خسرو,برخورد
کلباد,خاقان (خاقان چین),برخورد
کلباد,رستم,برخورد
کلباد,کاموس کشانی,برخورد
خضر,اسکندر,برخورد
مانی,شاپور هوبه سنبا,برخورد
کیومرث,پور آهرمن,برخورد
اهرمن (تهمورث),تهمورث,برخورد
کسرا انوشیروان,فرفوریوس,برخورد
اسپنوی,بیژن,برخورد
گستهم نوذر,بیژن,برخورد
موسی,نوذر,برخورد
گروخان,نوذر,برخورد
فرامرز,سرخه,برخورد
رستم,سرخه,برخورد
توس,سرخه,برخورد
زواره,سرخه,برخورد
گیو,پیلسم,برخورد
فرامرز,پیلسم,برخورد
زواره,الکوس,برخورد
گستهم (سهراب),گژدهم,برخورد
گیو,پولادوند,برخورد
ابلیس,ضحاک,برخورد
ضحاک,ارمایل,برخورد
ضحاک,گرمایل,برخورد
زیرک (خوابگزار ضحاک),ضحاک,برخورد
نگهبان مرغزار,فریدون,برخورد
مرد دینی,فریدون,برخورد
کاوه,فریدون,برخورد
سروش ایزدی,فریدون,برخورد
نگهبان رود,فریدون,برخورد
سروش خجسته,فریدون,برخورد
دیو جنگی (سپاه کاکو),منوچهر,برخورد
نگهبان کاخ (زال),کنیزان رودابه,برخورد
شماساس,مهراب,برخورد
شماساس,زال زر,برخورد
خزروان (افراسیاب),مهراب,برخورد
قارن کاوه,گرسیوز,برخورد
قارن کاوه,ویسه,برخورد
زال زر,اغریرث,برخورد
اولاد,رستم,برخورد
کاووس,شاه هاماوران,برخورد
شاه هاماوران,رستم,برخورد
الکوس,زواره,برخورد
سهراب,کاووس,برخورد
هیربد کاووس,سیاوش,برخورد
طورگ,زنگه,برخورد
کلباد,سیاوش,برخورد
جهن,سیاوش,برخورد
نستیهن,سیاوش,برخورد
هومان,سیاوش,برخورد
هومان,رستم,برخورد
سروش خجسته,گودرز,برخورد
کلباد,گیو,برخورد
نستیهن,گیو,برخورد
بیژن,تژاو,برخورد
بهرام گودرز,فرود,برخورد
گیو,فرود,برخورد
توس,فرود,برخورد
بیژن,فرود,برخورد
گیو,تژاو,برخورد
هومان,توس,برخورد
رهام,بازور,برخورد
گیو,کاموس کشانی,برخورد
توس,کاموس کشانی,برخورد
رهام,اشکبوس,برخورد
پیران ویسه,رستم,برخورد
رستم,شنگل (همپیمان افراسیاب),همپیمان
هومان,گیو,برخورد
گستهم نوذر,کافور,برخورد
گودرز,پولادوند,برخورد
توس,پولادوند,برخورد
رستم,پولادوند,برخورد
گرگین,بیژن,برخورد
بیژن,گرگین,برخورد
گرسیوز,بیژن,برخورد
پیران ویسه,بیژن,برخورد
گیو,گرگین,برخورد
رستم,گرگین,برخورد
رستم,منیژه,برخورد
اشکش,شیده,برخورد
هومان,رهام,برخورد
هومان,فریبرز,برخورد
هومان,گودرز,برخورد
شماخ,هجیر,برخورد
لهاک,گیو,برخورد
فرشیدورد,گیو,برخورد
گرازه,فرشیدورد,برخورد
بیژن,فرشیدورد,برخورد
اندریمان,گستهم نوذر,برخورد
اندریمان,هجیر,برخورد
سیاوش,بهرام گودرز,برخورد
سیاوش,زنگه,برخورد
بیژن,گستهم نوذر,برخورد
اشکش,گرسیوز,برخورد
قارن کاوه,شیده,برخورد
مه بانوان افراسیاب,کی خسرو,برخورد
کی خسرو,فغفور چین (افراسیاب),برخورد
کی خسرو,خاقان چین (افراسیاب),برخورد
افراسیاب تورانی,ملاح (دریابان آب زره),برخورد
کی خسرو,پوشیده رویان افراسیاب,برخورد
کاووس,پوشیده رویان افراسیاب,برخورد
کی خسرو,شاه مکران,برخورد
هوم,کی خسرو,برخورد
هوم,کاووس,برخورد
هوم,گیو,برخورد
هوم,گودرز,برخورد
سروش خجسته,هوم,برخورد
سروش خجسته,کی خسرو,برخورد
زال زر,کی خسرو,برخورد
هیشوی,گشتاسپ,برخورد
اسقف (لهراسپ),گشتاسپ,برخورد
نستاو,گشتاسپ,برخورد
ساربان قیصر,گشتاسپ,برخورد
بوراب,گشتاسپ,برخورد
مهتر ده (رومی، گشتاسب),گشتاسپ,برخورد
کتایون,مهتر ده (رومی، گشتاسب),برخورد
اهرن,گشتاسپ,برخورد
میرین,گشتاسپ,برخورد
سقیل,گشتاسپ,برخورد
قیصر (گشتاسپ),لهراسپ,برخورد
قالوس,لهراسپ,برخورد
زریر,قیصر (گشتاسپ),برخورد
زرتشت,گشتاسپ,برخورد
زرتشت,زریر,برخورد
ارجاسب,گشتاسپ,برخورد
بی درفش,گشتاسپ,برخورد
گرامی پسر جاماسب,نام خواست هزاران,برخورد
بستور,اردشیر (زریر),برخورد
بستور,بی درفش,برخورد
قیصر دوم (گشتاسپ),گشتاسپ,برخورد
شه بت پرستان و رایان هند,گشتاسپ,برخورد
گرزم,اسفندیار,برخورد
جاماسب پیشگو,اسفندیار,برخورد
گشتاسپ,زال زر,برخورد
گشتاسپ,رستم,برخورد
میرین,اهرن,برخورد
اهرن,هیشوی,برخورد
میرین,هیشوی,برخورد
رستم,سیمرغ,برخورد
رخش رستم,سیمرغ,برخورد
بهمن اسفندیار,رستم,برخورد
بهمن اسفندیار,زال زر,برخورد
گازر,داراب,برخورد
زن گازر,داراب,برخورد
رشنواد,داراب,برخورد
شعیب,داراب,برخورد
شاه سوس,داراب,برخورد
فیلقوس,داراب,برخورد
مادیان سمند و کره خنگ,اسکندر,برخورد
ناهید,روشنک,برخورد
کید,اسکندر,برخورد
پزشک کید,اسکندر,برخورد
مهران,کید,برخورد
نه نامور (اسکندر),کید,برخورد
قیدافه,اسکندر,برخورد
خضر,اسکندر,برخورد
اسرافیل,اسکندر,برخورد
بنداه,اسکندر,برخورد
گوش بستر,اسکندر,برخورد
ارسطالیس,اسکندر,برخورد
کید,اسکندر,برخورد
اردشیر بابکان,اردوان,برخورد
هفتواد,اردشیر بابکان,برخورد
کرم,هفتواد,برخورد
کرم,اردشیر بابکان,برخورد
خراد پیر,اردشیر بابکان,برخورد
سروش خجسته,کیومرث,برخورد
فرانک,نگهبان مرغزار,برخورد
مرد دینی,فرانک,برخورد
ضحاک,کاوه,برخورد
جندل,سرو شاه یمن,برخورد
نگهبان الان دژ,قارن کاوه,برخورد
مرد پاکدل (سلم و تور),فریدون,برخورد
طایر,شاپور هوبه سنبا,برخورد
طایر,شاپور هوبه سنبا,برخورد
باغبان (شاپور),شاپور هوبه سنبا,برخورد
همسر باغبان (شاپور),شاپور هوبه سنبا,همسر
سروش هندی,یزدگرد بزه کار,برخورد
نعمان,یزدگرد بزه کار,برخورد
منذر,یزدگرد بزه کار,برخورد
نخاس,سعد (بهرام),برخورد
طینوش,یزدگرد بزه کار,برخورد
گشسب (بهرام گور),بهرام گور,برخورد
میلاد (بهرام گور),بهرام گور,برخورد
پیروز (بهرام گور),بهرام گور,برخورد
گشسب دبیر (بهرام گور),بهرام گور,برخورد
الان شاه (بهرام گور),بهرام گور,برخورد
پارس (بهرام گور),بهرام گور,برخورد
بیورد,بهرام گور,برخورد
شگنان,بهرام گور,برخورد
خسرو (بهرام گور),بهرام گور,برخورد
جوانوی,منذر,برخورد
موبد نخست (آیین تاج),بهرام گور,برخورد
موبد دوم (آیین تاج),بهرام گور,برخورد
پیرمرد (بهرام گور),بهرام گور,برخورد
براهام جهود,بهرام گور,برخورد
لنبک,بهرام گور,برخورد
مرد پاکدل (بهرام گور),بهرام گور,برخورد
مهربنداد,بهرام گور,برخورد
کبروی,بهرام گور,برخورد
مرد آسیابان,بهرام گور,برخورد
همسر آسیابان,بهرام گور,همسر
ماهیار پیر,بهرام گور,برخورد
بازرگان (بهرام گور),بهرام گور,برخورد
شاگرد بازارگان (بهرام گور),بهرام گور,برخورد
همسر برزین,بهرام گور,همسر
طغری,بهرام گور,برخورد
سرشبان (بهرام گور),بهرام گور,برخورد
ماهیار بازرگان,بهرام گور,برخورد
فرشیدورد کدیور,بهرام گور,برخورد
خارزن,بهرام گور,برخورد
همای (فرستاده‌ی بهرام گور),خاقان(عهد بهرام گور),برخورد
